Wall time,Step,Value
1651276606.7515109,0,0.2928331196308136
1651276651.147074,100,1.1903436183929443
1651276695.967219,200,1.0481520891189575
1651276740.5473177,300,0.9193877577781677
1651276785.021597,400,0.7853472232818604
1651276829.5897648,500,0.7117059230804443
1651276874.032728,600,0.675794780254364
1651276918.2215896,700,0.6202213764190674
1651276962.6914928,800,0.5768898129463196
1651277006.762413,900,0.5620307326316833
1651277050.8999724,1000,0.5444170236587524
1651277095.1083,1100,0.5398938059806824
1651277139.6882746,1200,0.5117334127426147
1651277183.8287761,1300,0.5191152691841125
1651277227.853766,1400,0.5199425220489502
1651277271.8630168,1500,0.5177798271179199
1651277315.7414095,1600,0.5181593894958496
1651277360.062825,1700,0.499656617641449
1651277404.1249619,1800,0.5137277245521545
1651277448.7125936,1900,0.5123351812362671
1651277492.9588063,2000,0.4885677695274353
1651277536.8948383,2100,0.5053467750549316
1651277581.4231846,2200,0.49393945932388306
1651277625.457715,2300,0.5164622068405151
1651277669.560446,2400,0.524050235748291
1651277713.6289494,2500,0.632805347442627
1651277757.9237828,2600,0.5704518556594849
1651277801.6563072,2700,0.5403590202331543
1651277845.7054434,2800,0.49785518646240234
1651277889.5543685,2900,0.4713578522205353
