Wall time,Step,Value
1651276606.7515109,0,0.234375
1651276651.147074,100,0.65625
1651276695.967219,200,0.78125
1651276740.5473177,300,0.921875
1651276785.021597,400,0.921875
1651276829.5897648,500,0.90625
1651276874.032728,600,0.953125
1651276918.2215896,700,0.9375
1651276962.6914928,800,1.0
1651277006.762413,900,1.0
1651277050.8999724,1000,1.0
1651277095.1083,1100,0.984375
1651277139.6882746,1200,1.0
1651277183.8287761,1300,0.984375
1651277227.853766,1400,1.0
1651277271.8630168,1500,1.0
1651277315.7414095,1600,0.984375
1651277360.062825,1700,1.0
1651277404.1249619,1800,1.0
1651277448.7125936,1900,1.0
1651277492.9588063,2000,1.0
1651277536.8948383,2100,1.0
1651277581.4231846,2200,1.0
1651277625.457715,2300,1.0
1651277669.560446,2400,1.0
1651277713.6289494,2500,1.0
1651277757.9237828,2600,0.984375
1651277801.6563072,2700,1.0
1651277845.7054434,2800,1.0
1651277889.5543685,2900,1.0
