Wall time,Step,Value
1651277961.2201881,0,0.23629803955554962
1651278016.3843987,100,1.273418664932251
1651278071.0637243,200,0.9417810440063477
1651278125.6343045,300,0.847148060798645
1651278179.9279954,400,0.7764381170272827
1651278234.313456,500,0.7111493349075317
1651278288.5072908,600,0.6476594805717468
1651278342.9080622,700,0.6129095554351807
1651278396.8299348,800,0.5873532891273499
1651278450.8317795,900,0.5416828989982605
1651278505.4628956,1000,0.5454767942428589
1651278559.7510095,1100,0.5227803587913513
1651278614.0379186,1200,0.5055325627326965
1651278668.0986304,1300,0.5029951930046082
1651278722.6641507,1400,0.51854407787323
1651278778.9185505,1500,0.5196804404258728
1651278833.238407,1600,0.49246716499328613
1651278887.6387942,1700,0.5104683637619019
1651278941.7237053,1800,0.5747894644737244
1651278995.9175992,1900,0.5645971298217773
1651279050.255282,2000,0.5479212999343872
1651279104.470401,2100,0.5260304808616638
1651279158.7731726,2200,0.5044445395469666
1651279212.7864316,2300,0.5127747654914856
1651279267.5639565,2400,0.4751514494419098
1651279321.9540093,2500,0.4644886553287506
1651279376.084603,2600,0.46220043301582336
1651279430.2918699,2700,0.47216710448265076
1651279484.413789,2800,0.4646140933036804
1651279538.6312823,2900,0.47521305084228516
