Wall time,Step,Value
1651277961.2201881,0,0.25590991973876953
1651278016.3843987,100,1.2376277446746826
1651278071.0637243,200,0.9774144291877747
1651278125.6343045,300,0.854144811630249
1651278179.9279954,400,0.8209706544876099
1651278234.313456,500,0.6977666616439819
1651278288.5072908,600,0.6379441618919373
1651278342.9080622,700,0.6098353862762451
1651278396.8299348,800,0.577440083026886
1651278450.8317795,900,0.5394635796546936
1651278505.4628956,1000,0.5477100610733032
1651278559.7510095,1100,0.5094248056411743
1651278614.0379186,1200,0.5128788948059082
1651278668.0986304,1300,0.5087412595748901
1651278722.6641507,1400,0.5040028691291809
1651278778.9185505,1500,0.5073781609535217
1651278833.238407,1600,0.493453711271286
1651278887.6387942,1700,0.519821047782898
1651278941.7237053,1800,0.5699605941772461
1651278995.9175992,1900,0.5620676875114441
1651279050.255282,2000,0.5367565751075745
1651279104.470401,2100,0.5290374755859375
1651279158.7731726,2200,0.5065411329269409
1651279212.7864316,2300,0.5069345831871033
1651279267.5639565,2400,0.47182023525238037
1651279321.9540093,2500,0.46249160170555115
1651279376.084603,2600,0.4647432863712311
1651279430.2918699,2700,0.4665858745574951
1651279484.413789,2800,0.4641130566596985
1651279538.6312823,2900,0.4690770208835602
