Wall time,Step,Value
1651275501.6683056,0,0.2601465582847595
1651275545.814201,100,0.21945077180862427
1651275590.2216065,200,0.1161690205335617
1651275634.3407586,300,0.14239859580993652
1651275678.6923785,400,0.12950266897678375
1651275722.477778,500,0.11546172946691513
1651275766.6656237,600,0.1030430793762207
1651275810.374409,700,0.07107338309288025
1651275854.2909439,800,0.059698596596717834
1651275898.2445168,900,0.0588420033454895
1651275942.383897,1000,0.06009946018457413
1651275986.5792546,1100,0.061843983829021454
1651276030.1668582,1200,0.02707687020301819
1651276074.2221768,1300,0.02593066543340683
1651276118.2027612,1400,0.043936844915151596
1651276161.996562,1500,0.04224945232272148
1651276206.346226,1600,0.05500650405883789
1651276250.3798144,1700,0.034007906913757324
1651276294.3969107,1800,0.04580823332071304
1651276338.282779,1900,0.03332531452178955
1651276382.1856966,2000,0.025890886783599854
1651276425.9368036,2100,0.041659776121377945
1651276469.856887,2200,0.03727458789944649
1651276513.5879917,2300,0.06378647685050964
1651276569.3803785,2400,0.08700519800186157
1651276613.2998326,2500,0.03255970776081085
1651276657.8157578,2600,0.0295395590364933
1651276702.1155329,2700,0.025948865339159966
1651276746.265998,2800,0.023662598803639412
1651276790.7531285,2900,0.021029330790042877
