Wall time,Step,Value
1651275501.6683056,0,0.3125
1651275545.814201,100,0.609375
1651275590.2216065,200,0.75
1651275634.3407586,300,0.875
1651275678.6923785,400,0.9375
1651275722.477778,500,0.96875
1651275766.6656237,600,0.9375
1651275810.374409,700,0.984375
1651275854.2909439,800,1.0
1651275898.2445168,900,1.0
1651275942.383897,1000,1.0
1651275986.5792546,1100,0.984375
1651276030.1668582,1200,1.0
1651276074.2221768,1300,1.0
1651276118.2027612,1400,1.0
1651276161.996562,1500,1.0
1651276206.346226,1600,0.96875
1651276250.3798144,1700,1.0
1651276294.3969107,1800,1.0
1651276338.282779,1900,1.0
1651276382.1856966,2000,1.0
1651276425.9368036,2100,0.984375
1651276469.856887,2200,1.0
1651276513.5879917,2300,0.984375
1651276569.3803785,2400,0.953125
1651276613.2998326,2500,1.0
1651276657.8157578,2600,1.0
1651276702.1155329,2700,1.0
1651276746.265998,2800,1.0
1651276790.7531285,2900,1.0
