Wall time,Step,Value
1651277733.783762,0,0.39053958654403687
1651277761.3173714,100,1.7184737920761108
1651277788.75244,200,1.492443323135376
1651277816.0083663,300,1.4111549854278564
1651277843.569861,400,1.2111448049545288
1651277870.796376,500,1.2311501502990723
1651277898.2688348,600,1.244686245918274
1651277925.5432017,700,1.1497565507888794
1651277952.8778772,800,1.1457051038742065
1651277980.2128572,900,1.0908573865890503
1651278008.066213,1000,1.064491629600525
1651278035.803413,1100,1.0371633768081665
1651278063.1407056,1200,0.9895010590553284
1651278090.214999,1300,0.9741026163101196
1651278117.4010417,1400,0.9647940993309021
1651278144.8851967,1500,0.9881619811058044
1651278172.2036204,1600,0.9367586970329285
1651278199.4063113,1700,0.9263876080513
1651278227.030907,1800,0.9314090013504028
1651278254.2847347,1900,0.8565557599067688
1651278281.246901,2000,0.8752115368843079
1651278308.6010127,2100,0.8822852969169617
1651278336.033279,2200,0.7786005139350891
1651278363.2564337,2300,0.8406609296798706
1651278390.5628884,2400,0.8209276795387268
1651278418.0596085,2500,0.8408814072608948
1651278445.2703583,2600,0.8240678906440735
1651278472.7659402,2700,0.7771357297897339
1651278499.8175664,2800,0.7980212569236755
1651278527.0389872,2900,0.7329466938972473
