Wall time,Step,Value
1651276953.4784808,0,0.35953289270401
1651276988.9241838,100,0.1727581024169922
1651277024.4035878,200,0.103213831782341
1651277060.0552034,300,0.20767298340797424
1651277095.1307893,400,0.15959861874580383
1651277130.6189528,500,0.10795274376869202
1651277165.8162715,600,0.11978017538785934
1651277201.1643696,700,0.14663778245449066
1651277236.628166,800,0.1841137558221817
1651277271.4952471,900,0.16163313388824463
1651277306.6429667,1000,0.11240729689598083
1651277341.6916804,1100,0.07961217314004898
1651277376.832204,1200,0.11845780164003372
1651277412.245349,1300,0.13353435695171356
1651277447.6204798,1400,0.05539291352033615
1651277482.6407146,1500,0.17371109127998352
1651277517.8307426,1600,0.061124373227357864
1651277552.945971,1700,0.13271501660346985
1651277588.4389575,1800,0.05494409054517746
1651277624.068222,1900,0.1438872218132019
1651277658.9083102,2000,0.042925875633955
1651277694.2210371,2100,0.05359838902950287
1651277729.5289462,2200,0.07272458076477051
1651277764.7630718,2300,0.08412667363882065
1651277800.0019171,2400,0.038415126502513885
1651277835.0124261,2500,0.05871514230966568
1651277870.1685116,2600,0.10281358659267426
1651277905.4832835,2700,0.07739193737506866
1651277940.533788,2800,0.04103846848011017
1651277975.8041816,2900,0.04707692563533783
