Wall time,Step,Value
1651276953.4784808,0,0.21875
1651276988.9241838,100,0.78125
1651277024.4035878,200,0.84375
1651277060.0552034,300,0.71875
1651277095.1307893,400,0.8125
1651277130.6189528,500,0.875
1651277165.8162715,600,0.9375
1651277201.1643696,700,0.9375
1651277236.628166,800,0.90625
1651277271.4952471,900,0.90625
1651277306.6429667,1000,1.0
1651277341.6916804,1100,0.96875
1651277376.832204,1200,0.96875
1651277412.245349,1300,1.0
1651277447.6204798,1400,1.0
1651277482.6407146,1500,0.96875
1651277517.8307426,1600,0.9375
1651277552.945971,1700,0.96875
1651277588.4389575,1800,1.0
1651277624.068222,1900,1.0
1651277658.9083102,2000,1.0
1651277694.2210371,2100,1.0
1651277729.5289462,2200,1.0
1651277764.7630718,2300,1.0
1651277800.0019171,2400,1.0
1651277835.0124261,2500,0.96875
1651277870.1685116,2600,0.96875
1651277905.4832835,2700,1.0
1651277940.533788,2800,1.0
1651277975.8041816,2900,1.0
