Wall time,Step,Value
1651277734.558118,0,0.2605431079864502
1651277764.5187757,100,0.19011718034744263
1651277794.6605535,200,0.20256271958351135
1651277824.1584747,300,0.23383215069770813
1651277854.1639166,400,0.19234441220760345
1651277883.5974665,500,0.127964049577713
1651277913.375458,600,0.12283465266227722
1651277942.982735,700,0.09537218511104584
1651277972.7424183,800,0.18392276763916016
1651278002.5901022,900,0.295231431722641
1651278032.2764485,1000,0.09341852366924286
1651278061.736623,1100,0.2526608407497406
1651278091.3167233,1200,0.2827991545200348
1651278121.3118718,1300,0.1380464732646942
1651278150.5125742,1400,0.13682132959365845
1651278180.0780623,1500,0.16563370823860168
1651278209.7721794,1600,0.19595655798912048
1651278239.1437378,1700,0.1376236230134964
1651278269.0001256,1800,0.16383884847164154
1651278298.7082255,1900,0.07739142328500748
1651278328.2682683,2000,0.1309269666671753
1651278357.71419,2100,0.045808613300323486
1651278387.4171395,2200,0.10782159864902496
1651278417.2273078,2300,0.22918474674224854
1651278446.7770147,2400,0.1370980143547058
1651278476.791696,2500,0.0966276228427887
1651278506.3516984,2600,0.1508272886276245
1651278536.110254,2700,0.10234933346509933
1651278566.459823,2800,0.1617063581943512
1651278596.2185686,2900,0.128058522939682
