Wall time,Step,Value
1651277525.9235163,0,0.3669339120388031
1651277562.641021,100,1.592836618423462
1651277599.5113113,200,1.54527747631073
1651277636.9471986,300,1.3954485654830933
1651277672.4122005,400,1.2542567253112793
1651277707.3822255,500,1.1608203649520874
1651277743.8460095,600,1.2633131742477417
1651277778.684648,700,1.1678407192230225
1651277815.1901407,800,1.1543385982513428
1651277850.3194492,900,1.1743767261505127
1651277885.4377167,1000,1.0344350337982178
1651277921.355771,1100,1.0367974042892456
1651277957.072681,1200,0.9626309871673584
1651277994.1988764,1300,0.9524386525154114
1651278031.172835,1400,0.9843364357948303
1651278068.0697355,1500,1.008400797843933
1651278104.5504706,1600,0.9570062160491943
1651278139.591896,1700,0.9395079612731934
1651278174.4661384,1800,0.8925595879554749
1651278209.4966607,1900,0.8932273387908936
1651278244.635905,2000,0.8972793221473694
1651278279.5391216,2100,0.8815488219261169
1651278314.6117108,2200,0.7864437103271484
1651278349.4104252,2300,0.8244388103485107
1651278384.4457538,2400,0.7768322825431824
1651278419.6116645,2500,0.8175039887428284
1651278454.558303,2600,0.86075758934021
1651278489.781445,2700,0.8267934918403625
1651278525.2263174,2800,0.8060428500175476
1651278560.219488,2900,0.768024742603302
